"Entrez1"	"Entrez2"	"R"	"P"	"FDR"
4512	4541	0.95604395866394	3.36509619058845e-07	8.80156461613995e-05
4508	4541	0.923076927661896	6.85168376524103e-06	0.000817082977751445
4514	4541	0.906593382358551	1.92961786174006e-05	0.00160586513226362
4513	4541	0.939560413360596	1.87825281194876e-06	0.000345920821135533
4519	4541	0.895604372024536	3.48097715603402e-05	0.00230522157407572
4537	4541	0.879120886325836	7.54455999461001e-05	0.00354719682526037
4535	4541	0.846153855323792	0.000266011973482083	0.00726920340178212
213	4536	0.747252762317657	0.00332674039843095	0.0294747494737157
2512	4536	-0.857142865657806	0.000180934032513846	0.00564851731393528
4538	4536	0.857142865657806	0.000180934032513846	0.00564851731393528
4512	4536	0.752747237682343	0.00298223429410616	0.0278243532386253
4508	4536	0.857142865657806	0.000180934032513846	0.00564851731393528
4514	4536	0.769230782985687	0.00211222896756658	0.0226622290987624
4513	4536	0.862637341022491	0.000147447980680671	0.00502113610359505
4519	4536	0.890109896659851	4.56543600351189e-05	0.00269637942332652
4495	4536	0.774725258350372	0.00187136218718464	0.0213277730048049
4537	4536	0.912087917327881	1.39755482373438e-05	0.00135089732573704
335	4536	0.780219793319702	0.00165250016070395	0.0201465207606387
4535	4536	0.862637341022491	0.000147447980680671	0.00502113610359505
4541	4536	0.807692289352417	0.000839160418255158	0.0138930149032935
5265	100033819	0.901098906993866	2.61386137656583e-05	0.00197947531254529
5265	283120	0.901098906993866	2.61386137656583e-05	0.00197947531254529
100033819	283120	1	0	0
6288	2244	0.879120886325836	7.54455999461001e-05	0.00354719682526037
5004	2244	0.791208803653717	0.00127502351658704	0.0174286811391179
6288	2243	0.928571403026581	4.60743610197767e-06	0.000620807137117121
5004	2243	0.703296720981598	0.007318567720624	0.0468704568527617
2244	2243	0.934065937995911	2.99870279008019e-06	0.000478639099185876
4538	4539	0.928571403026581	4.60743610197767e-06	0.000620807137117121
4512	4539	0.813186824321747	0.000723607503004597	0.0128113103134346
4508	4539	0.906593382358551	1.92961786174006e-05	0.00160586513226362
4514	4539	0.747252762317657	0.00332674039843095	0.0294747494737157
4513	4539	0.895604372024536	3.48097715603402e-05	0.00230522157407572
4519	4539	0.917582392692566	9.90624128682782e-06	0.00104519240695768
4535	4539	0.752747237682343	0.00298223429410616	0.0278243532386253
4541	4539	0.785714268684387	0.00145419018811577	0.0187031692583071
4536	4539	0.774725258350372	0.00187136218718464	0.0213277730048049
4508	3240	0.725274741649628	0.00502323618349787	0.0376470566364968
4519	3240	0.719780206680298	0.00553611704466928	0.0398500562015104
6288	3240	0.824175834655762	0.000530222675120484	0.0108502174642505
5004	3240	0.741758227348328	0.00370131475905877	0.0312712871541
4536	3240	0.725274741649628	0.00502323618349787	0.0376470566364968
2244	3240	0.873626351356506	9.5289061013748e-05	0.00393874106779935
2243	3240	0.780219793319702	0.00165250016070395	0.0201465207606387
4539	3240	0.714285731315613	0.00608830347139033	0.0421763733690238
4538	4540	0.97252744436264	2.6191476543147e-08	1.29398366254833e-05
4512	4540	0.950549423694611	6.36372345041991e-07	0.000145640362054647
4508	4540	0.97252744436264	2.6191476543147e-08	1.29398366254833e-05
4514	4540	0.879120886325836	7.54455999461001e-05	0.00354719682526037
4513	4540	0.967032968997955	7.06411160678044e-08	2.68134724098831e-05
4519	4540	0.961538434028625	1.6317744133687e-07	4.9793116290295e-05
4537	4540	0.818681299686432	0.000620988718596394	0.0117354425417807
4535	4540	0.818681299686432	0.000620988718596394	0.0117354425417807
4541	4540	0.950549423694611	6.36372345041991e-07	0.000145640362054647
4536	4540	0.818681299686432	0.000620988718596394	0.0117354425417807
4539	4540	0.923076927661896	6.85168376524103e-06	0.000817082977751445
4538	4509	0.857142865657806	0.000180934032513846	0.00564851731393528
4512	4509	0.851648330688477	0.000220219578060732	0.0064119124107954
4508	4509	0.862637341022491	0.000147447980680671	0.00502113610359505
4514	4509	0.769230782985687	0.00211222896756658	0.0226622290987624
4513	4509	0.829670310020447	0.000450286563231206	0.0100323330569587
4519	4509	0.857142865657806	0.000180934032513846	0.00564851731393528
4535	4509	0.736263751983643	0.0041077081506331	0.0333296184015786
4541	4509	0.774725258350372	0.00187136218718464	0.0213277730048049
4539	4509	0.939560413360596	1.87825281194876e-06	0.000345920821135533
4540	4509	0.901098906993866	2.61386137656583e-05	0.00197947531254529
2244	348	-0.785714268684387	0.00145419018811577	0.0187031692583071
2243	348	-0.730769217014313	0.00454773488915028	0.0354313512953198
3240	348	-0.846153855323792	0.000266011973482083	0.00726920340178212
213	5950	0.785714268684387	0.00145419018811577	0.0187031692583071
2512	5950	-0.730769217014313	0.00454773488915028	0.0354313512953198
345	5950	0.730769217014313	0.00454773488915028	0.0354313512953198
