ENTREZID	Normal	Normal	Normal	Normal	Normal	Normal	Cancer	Cancer	Cancer	Cancer	Cancer	Cancer	Cancer
106478956	0.034935915	0	0	0	0	0.025158629	0	0	0	0	0.026775343	0	0.019336549
106456574	0	0	0	0	0	0	0	0	0	0	0	0	0
106182249	0	0	0	0	0	0	0	0	0	0	0	0	0
106146149	0	0	0	0	0	0	0	0	0	0	0	0	0
106146148	0	0	0	0	0	0	1.285318559	1.275504485	0	0	0	0	0.10014297
106144593	0.143237251	0.091531219	0	0	0.071847383	0.137533837	0.478844169	0.07086136	0.240098244	0.497644744	0.146371876	0.045295587	0.369972639
106144585	0	0	0	0	0	0	0	0	0	0	0	0	0.023903473
106144568	0	0	0	0	0	0	0.046240317	0	0	0	0	0	0.061246237
106144537	0	0	0	0	0	0	0	0	0	0	0	0	0
106144535	0	0	0	0	0	0	0.174831542	0	0	0.209649057	0	0	0.144729952
106144532	0.107967777	0.165584116	0.160020455	0.206180247	0.129975165	0.124402465	2.779221182	0.192287108	1.085871453	0.277003646	0.264793343	0.204854412	0.2629382
106144531	0	0	0	0	0	0	0	0	0	0	0	0	0
106144529	0.032148012	0	0	0	0	0.09260383	0	0.190848551	0.04041554	0	0.295663889	0	0
106144526	0.044300181	0	0.109429796	0.040284604	0	0.021268119	0.024682689	0.241074731	0.111385783	0.165750034	0.452696523	0.168107332	0.14711725
105827617	0	0	0	0	0	0	0	0	0	0	0	0	0
105755953	0	0	0	0	0	0	0	0	0	0	0	0	0
105751187	0	0	0	0.020004812	0	0.042245888	0.171599446	0.065298864	0	0.023516948	0.044960644	0	0.016234782
105664404	0	0	0	0	0	0	0	0	0	0	0	0	0
105616982	0	0	0	0	0	0	0	0	0	0	0	0	0.015084961
105616916	0	0	0	0	0.069157909	0	0	0	0	0	0	0	0
105463123	0	0	0	0	0	0	0	0	0	0	0	0	0
105447648	0	0	0	0	0	0	0	0	0	0	0	0	0
105416157	0.084354501	0.057074894	0.101121471	0.020305115	0.029867272	0.042880065	0.074646608	0.066279101	0.093571775	0.031826631	0.022817787	0.065903509	0.065913964
105379861	0	0	0	0	0	0.009492366	0	0	0	0	0.010102353	0	0
105379715	0	0	0	0	0	0	0	0	0	0.021266869	0	0	0
105379699	0	0	0	0	0	0	0.153548605	0	0.076991123	0	0.093872699	0.116197704	0.135585494
105379695	0.269079466	0.218841246	0.271913316	0.300299937	0.294478837	0.211389768	2.126177145	0.762398317	0.215268349	0.784493247	0.487443343	0.324890545	0.731119691
105379487	0	0	0	0	0	0	0	0	0	0	0	0	0
105379484	0.271137436	0.157510703	0.091330986	0.067243708	0.148365532	0	0.082401482	0.10974704	0.030987823	0	0	0.467679096	0.027285608
105379478	0	0	0	0	0	0	0	0	0	1.018590579	0	0	0
105379447	0	0	0	0	0	0	0.019187879	0.102222087	0	0	0	0	0
105379444	0.062782561	0.106984542	0.07754238	0	0.062983095	0.060282688	3.498049936	1.056018324	0.105237866	0	0.128313008	0.03970717	0
105379391	0	0	0	0	0	0	0	0	0	0	0	0.04676791	0
105379374	0.019155056	0	0	0	0	0	0.512284995	1.051864769	0	2.795092321	0	1.671831159	1.611513173
105379252	0	0.002079467	0	0.011096952	0.00489683	0	0	0.002414813	0	0	0	0	0
105379194	1.251800851	0.168404969	0.122059896	0.389429277	0.462662874	0	1.02784268	0.097781434	0.248483276	0.035215327	0.033663038	4.416898424	0.267417556
105379175	0.069122534	0.066255843	0.044820743	0.13671385	0.176825462	0.129421921	0.00577694	0.887381807	0.286766133	0.171799815	0.402620763	0.072132918	0.256331101
105379164	0	0	0	0	0	0	0	0	0	0	0	0	0
105379143	0.04828222	0.024682576	0.017889927	0.013171708	0.029061863	0.06953958	0.064563259	0.028663022	0.060698994	0	0.029603301	0.01832181	0.032068254
105379141	0	0	0	0	0	0	0	0	0	0	0	0	0
105379109	0	0	0	0	0	0	0.089447852	0.071479081	0	0.085809037	0.008202658	0	0.165865691
105379054	0	0	0	0	0	0	0	0.043631852	0	0	0.022531589	0	0
105379051	0	0	0	0	0	0	0	0	0	0.027746842	0.026523763	0	0
105379030	0.028711253	0	0.053191655	0	0	0	0	0	0	0	0	0	0
105378991	0	0	0	0	0	0	0	0.046893547	0	0	0.048431871	0.119900082	0
105378966	0.01028839	0	0	0	0	0	0	0	0	0	0	0	0.159445511
105378960	0	0	0	0	0	0	0	0	0	0	0	0	0
105378934	0.75528564	0.745900217	0.508826693	0.327801884	0.826579744	0.34612377	0.602540266	0.534998552	0.107900342	0.495452925	0.263118551	0.521110343	0.551053027
105378933	0	0	0	0	0	0	0.065996899	0	0	0	0	0	0
105378872	0	0	0	0	0	0	0	0	0	0	0	0	0
105378853	1.723036099	2.383850538	2.156704624	1.637525747	1.950827861	1.005041391	1.232735053	0.682254195	1.064365738	2.720478884	1.759053493	3.350804346	1.665731098
105378828	0.107316151	0.06857698	0.049704585	0.054893537	0.040372099	0.077282281	0	0.358362342	0.151779067	0.064530896	0.431804649	0.254522547	0.074247519
105378803	0	0	0	0	0	0	0	0	0	0	0.015361651	0	0
105378785	0	0	0	0	0	0	0	0	0	0	0	0	0
105378753	0.361246871	0.290203066	0.152973918	0.323808873	0.590195475	0.312176483	1.086888086	0.183819702	0.324392142	0.033100716	0.268953927	1.410001926	0.594122824
105378739	0	0	0	0	0	0	0	0	0	0	0	0	0
105378738	0	0	0	0	0	0	0	0	0	0	0	0	0
105378732	0	0	0	0	0	0	0	0.202461029	0	0	0	0	0
105378721	0.092131712	0.01811503	0.039389312	0.067668833	0.149303522	0.061243765	0.023692125	0.199845398	0.062367466	0.068184927	0.22812769	0.080680429	0.109832449
105378687	0.21453083	0.124626471	0.28905359	0.133012327	0.05869529	0.140446808	0.814976838	0.665732296	0.882660714	0.281456238	0.388627295	0.407043546	1.057864279
105378668	0.016422105	0.02098805	0	0.022400293	0	0.023652316	0.054899331	0.048745394	0.041290781	0.02633299	0.0755167	0.747809939	0.181788194
105378663	0.396250593	0.320734396	0.415995799	0.180166287	0.198758129	0.228283622	0.905192102	1.078167214	0.929888689	0.444773912	0.789598284	0.676649234	0.643336498
105378614	0.062277066	0.079592365	0	0	0	0.08969598	0	0	0	0	0	0	0
105378591	0	0	0.044392292	0	0	0	0.080104043	0.035562393	0.03012385	0	0	0.500103688	0
105378533	0	0	0	0	0	0	0	0	0	0	0	0	0
105378499	0	0	0	0	0	0	0	0	0	0	0	0	0
105378470	0.13641643	0.052303554	0.012636536	0.01860765	0	0.029471536	0.011401052	0	0	0	0	0.038824788	0.188761551
105378405	0.033724925	0.043101686	0.023430072	0.097754056	0.063436211	0.030358188	0.119789336	0.294058425	0.20139045	0.256871513	0.25201044	0.087984233	0.279994243
105378385	0	0	0	0	0	0	0	0.027849443	0	0.03008937	0	0	0
105378349	0	0	0	0	0	0	0	0	0.036215936	0	0	0	0
105378328	0	0	0	0	0	0	0.042669282	0	0	0	0	0	0
105378325	0	0	0	0	0	0	0	0	0	0	0	0	0
105378311	0	0	0	0	0	0	0	0	0	0	0	0	0.00620451
105378277	0	0	0	0	0	0	0	0	0	0	0	0	0
105378272	1.153436813	0.823780975	0.659926462	0.555291463	1.531483687	1.563542565	0.141763076	0.830756211	1.300795418	0.462386513	1.040010696	0.5149393	2.009118336
105378231	0.024680318	0.010514116	0.060965036	0.011221589	0	0.071092794	0	0.024419358	0	0	0	0	0.009106811
105378220	0	0	0	0	0	0	0	0	0	0	0	0	0
105378138	0.488652288	0.450681268	0.055997779	0.309218575	0.576126728	0.195901069	0.328398404	0.60560295	1.025976668	0.177714238	0.146715069	0.124257529	0.284403687
105378137	0.028332643	0.036210153	0.052490226	0	0.085269421	0	0	0	0	0	0	0	0
105378057	0	0	0	0	0	0	0	0.089718956	0	0	0	0	0
105378052	0	0	0	0.013694883	0	0	0.016781922	0	0	0	0.015389566	0.019049546	0
105378049	0	0	0	0	0	0	0	0	0	0	0	0	0
105378044	0	0	0	0	0	0.030791157	0	0	0	0	0	0	0
105377888	0	0	0	0	0	0	0	0	0	0	0	0	0.012186484
105377880	0	0	0	0	0	0	1.657537508	0.284019217	0	0	0	0.066017859	0.50071485
105377736	2.010347387	0.256929739	0.512112246	0.171386254	0.756288241	1.085793448	0.37803487	1.081568131	1.326858714	1.69239508	2.503729452	0.381436518	2.3366693
105377716	0	0	0	0	0	0	0	0	0	0	0	0	0.009083624
105377682	0	0	0	0	0	0	0	0	0	0	0	0	0
105377671	0	0	0	0	0	0	0	0	0	0	0	0	0
105377652	0	0	0	0	0	0	0	0	0	0	0	0	0
105377623	0.063441696	0.129729287	0.117534709	0.034614625	0.114559803	0.164472059	0	0.207143937	0.079757044	0.101729316	0.097245095	0.024074426	0.098319501
105377617	0	0	0	0	0	0	0	0	0	0	0	0	0
105377590	0.032719169	0.125448879	0.484935084	0	0	0.141373614	0.492212915	0.437038339	0.246801494	0.629585697	0.5516808	0.248320982	0.25353455
105377586	0.050833409	0	0	0.013867689	0	0.014642798	0.033987362	11.88995506	0.447343928	8.460926712	1.698629456	0	0.720271204
105377536	0	0	0	0	0	0	0	0	0	0	0	0	0
105377494	0.005437095	0.006948806	0	0	0	0	0	0	0	0.00871843	0	0	0
105377480	0	0	0	0	0	0	0	0	0	0	0.041253034	0	0
105377448	0.019414688	0	0.035968453	0	0	0.027962452	0.032451789	0.028814107	0	0	0.029759342	0	0
105377443	0.00569406	0	0	0	0	0	0.047588312	0.050704684	0.007158406	0.027391427	0	0	0.018909505
105377439	0	0	0	0	0	0	0.021965329	0	0	0	0	0	0
105377391	0	0	0	0	0	0	0	0	0	0	0	0	0
105377390	0	0	0	0	0	0	0	0	0	0	0	0	0
105377371	0.208946285	0.242764531	0.164225315	0.129549825	0.114334735	0.145910161	0.010583491	0.263119786	0.111440491	0.050764728	0.184402682	0.072081385	0.357460233
105377348	0.642377707	0.447808458	0.297523875	0.497854747	0.527260522	0.483626912	0.732094709	1.126719704	1.193013639	1.287572863	0.91751793	0.332407023	0.694933238
105377267	0.115063313	0.114376202	0.142114034	0.063942653	0.294989916	0.153446843	0.783563186	2.877791112	1.119730899	0.198172071	2.81542069	0.048514942	0.957648187
105377247	0	0	0	0	0	0	0	0	0	0	0	0	0
105377245	0	0	0	0	0	0	0	0	0	0	0	0	0
105377213	0.026745545	0	0	0	0	0	0	0	0	0	0	0	0
105377138	0.163558107	0.019003021	0.137733869	0.08112678	0.044749235	0.021415303	0.024853504	0.308945723	0	0.023842442	0.15954028	0.028211784	0.065837939
105377108	0.157020129	0.040135492	0.436352976	0.064254189	0.189026001	0.067845559	0	0.02330398	0	0.025178316	0.024068457	0.119169875	0.17381697
